14195617	,15772332	,11496071	,13804213	,13810376	,10461340	,10149099	,10156759	,11594944	,11247781	,9872558	,10926275	,16230825	,15631257	,15300739	,15887993	,16549272	,16553117	,15164771	,10517912	,9528450	,8806008	,9005958	,13282996	,13620424	,15386047	,16495539	,15902631	,13409443	,11247794	,9269391	,4942700	,9529224	,12025241	,15185343	,15125452	,14594491	,14394294	,11562117	,12495800	,13611701	,12946844	,12621996	,14858183	,15563930	,14401725	,14773359	,11837619	,12040127	,10853286	,10317189	,9593467	,14916272	,14855104	,10650012	,13472681	,16562117	,14858953	,16236745	,14923461	,13015470	,11634593	,14066357	,11705514	,15452881	,15574962	,10378858	,12871036	,13331068	,16160169	,16235714	,12822960	,12622241	,11895711	,13669288	,13353934	,14589080	,14719899	,13532295	,14922408	,15911092	,15642291	,14390947	,12292772	,13400721	,14380928	,15515826	,16308670	,16505021	,16504000	,16505301	,16507356	,16373978	,13221827	,7431781	,14527431	,16098719	,14528176	,14715809	,8474203	,12097453	,13288656	,14917020	,15309216	,13597330	,12867184	,7961471	,13274768	,14849696	,12872321	,13793680	,12811408	,13402519	,14380928	,15515826	,16308670	,15391933	,13286328	,12366014	,15363499	,
14261150	,15248559	,13392474	,13608103	,14129582	,10194326	,11523778	,10875619	,12897975	,11900320	,10724017	,9941431	,15442090	,14708880	,16345714	,14051724	,16550048	,16551073	,13986158	,11896469	,11109011	,8873087	,12362672	,14532028	,14795980	,13740462	,16497330	,15243163	,12751005	,11369881	,8021893	,5137513	,8478842	,11172501	,15314623	,15583696	,14398656	,14725826	,14776471	,14072763	,13922162	,12493235	,13408430	,13611711	,14581897	,14071732	,14448250	,13679300	,11123646	,10854833	,10580881	,8938112	,13408940	,14591416	,10581651	,13399699	,14714013	,12225183	,14591420	,14194090	,13539758	,12552865	,14065843	,12164268	,15057866	,13864867	,9394271	,12082790	,11821434	,12759747	,13414332	,10195874	,11763605	,10972555	,12883886	,12562112	,14325914	,14849696	,12872578	,14391200	,15577262	,15118010	,12028835	,11116975	,14054028	,12937849	,15578024	,16442562	,16505023	,16509136	,16508128	,16506837	,16514030	,13424608	,10587279	,15313338	,15710130	,15387082	,15636389	,7752276	,10196136	,12169409	,15575466	,15303060	,12281471	,13459837	,9268855	,12614541	,12938373	,11822727	,12479626	,11954564	,12744593	,12805751	,15578024	,16442562	,15456444	,13486275	,12501190	,15173553	,
14196384	,15114663	,15949932	,13012366	,15106719	,10261672	,9667219	,12229023	,12620447	,12491434	,12038334	,8945805	,12813719	,13657964	,16284297	,15042724	,16292008	,16490668	,13856904	,14588573	,12353686	,7103350	,13810121	,15915480	,6509410	,8875128	,16098734	,14259099	,13998758	,13997477	,14985138	,15889812	,14921391	,14987969	,16236745	,14858438	,14397634	,14790590	,14516618	,14071732	,13464439	,14534604	,15703985	,8621198	,11500416	,11768991	,13076371	,14141388	,12701133	,11838129	,11168646	,8282238	,12162983	,13607090	,12747933	,13334415	,13400716	,15048102	,16102865	,12610943	,12554400	,13406885	,14921920	,13150649	,15315379	,13074064	,8145486	,8865867	,11428220	,12561854	,13353418	,10393248	,10840455	,9002357	,11703723	,11242914	,13271957	,12938373	,11822727	,13205657	,14853810	,13739195	,11770541	,12626616	,14316957	,13660550	,15443104	,16235698	,9072265	,16376789	,16378068	,16172244	,11770289	,16049900	,13934755	,16230077	,15059653	,15918568	,16228276	,5267303	,9543596	,10662590	,15905199	,16223389	,12609416	,9394022	,10710912	,13266055	,14381184	,11762585	,11236239	,11433100	,12616854	,13462655	,15443360	,16235698	,8881293	,12961982	,11785420	,14587064	,
13997477	,14985138	,16020370	,13675683	,15891092	,10721711	,7628159	,8479614	,10125207	,12561597	,12237252	,11635595	,12617617	,13791089	,14841222	,15243179	,15310763	,16032942	,13927571	,15639462	,10451088	,10194081	,12098222	,11900332	,3947588	,9465471	,15638185	,14384272	,13801635	,13406374	,14791618	,15890332	,14268082	,13665171	,14131640	,14194090	,14131379	,13868969	,11698054	,11308183	,12621726	,15977938	,15831975	,5407097	,8620189	,10458024	,14385050	,14929869	,14080474	,12887987	,12023184	,8150645	,12231605	,14069437	,13864864	,12284808	,10242650	,16424097	,16502520	,12140892	,12227487	,14130599	,13998248	,13543345	,13799065	,12873614	,8015190	,10707580	,14127528	,12959948	,12239559	,10853286	,10711436	,8872319	,11246769	,11834537	,13527945	,14381184	,11762585	,11829655	,14262443	,11371935	,12299967	,13287883	,14451608	,14125976	,15506075	,12944025	,6250092	,14271442	,16179677	,6180446	,6312802	,13934767	,15708073	,16492705	,15977674	,16507616	,16556467	,4946544	,8761778	,10926275	,16231083	,16028067	,13266831	,10443888	,9663363	,15559815	,15835584	,12673923	,10975379	,11499668	,12617113	,13922441	,15441565	,12419220	,7246762	,12310978	,12181194	,14128043	,
13406374	,14791618	,15890333	,14139576	,15169667	,10978720	,8153991	,7692155	,9533843	,12495542	,11913162	,12688813	,13669013	,14848925	,12872321	,13793680	,13140117	,14651043	,14125719	,15838121	,10513801	,11966123	,13674170	,9331072	,3227445	,10253187	,15310239	,12349560	,13408164	,12752812	,14858183	,15563930	,14401468	,14839666	,13016247	,11431813	,11704222	,12164000	,8945810	,8941437	,11701915	,15054024	,14059682	,6650499	,10592434	,10328745	,15366543	,15845063	,14797778	,13741754	,12875666	,7491679	,11902642	,14460084	,13994141	,10908291	,8337476	,16543886	,16490189	,11289944	,11961226	,15572898	,13862297	,12552081	,13073040	,10510714	,8804977	,12348555	,13734566	,15062487	,11123646	,10854833	,10580881	,8806784	,11178664	,11052467	,15755653	,15835584	,12673923	,11634331	,14003896	,10777232	,12035510	,13947606	,13336956	,14068131	,15241622	,10778768	,10324896	,12163500	,12097196	,5196110	,9928069	,14721441	,16301231	,16488359	,15777221	,16503251	,15897512	,5408123	,10396337	,9681598	,15639983	,16227247	,15300244	,12478335	,9468040	,15167393	,15376571	,14840452	,11436957	,11631766	,12616084	,13927315	,15048868	,8221049	,10009565	,11326938	,12312002	,13801120	,
12752812	,14858183	,15563930	,14401725	,14837610	,10980261	,9072782	,8742792	,9535640	,12037304	,12106175	,11505058	,13271957	,12938373	,11822727	,12479626	,11954564	,12481678	,13335432	,15772587	,11561864	,13804213	,14006986	,9069957	,5002846	,12026520	,16031654	,11697028	,13406627	,12620456	,14794444	,14974597	,14269880	,14773099	,11440813	,9863310	,9870738	,10129046	,9857391	,7688015	,8154478	,14062249	,15041440	,7502472	,11771570	,12166580	,15036828	,15908546	,14798806	,14597569	,13994146	,6704474	,12292005	,11107473	,9467025	,9005431	,7105638	,12414332	,13467273	,9200500	,12089995	,15376556	,13407909	,14986418	,15181492	,10386069	,10515087	,14060452	,13408684	,14799828	,12701133	,11838129	,11168646	,8282238	,11903412	,12626873	,15297697	,15376571	,14840452	,12161957	,13412530	,10452118	,13015983	,14467788	,13406349	,14460576	,14055811	,12614034	,12554146	,13737135	,11568017	,11044475	,14657695	,16172209	,16561841	,16491696	,15312821	,15054024	,14059682	,6716807	,11449025	,7314333	,13341857	,15307431	,15303327	,11232375	,9538198	,14517143	,14529198	,15890308	,12288409	,11960213	,12157075	,13079197	,11833749	,6911335	,10799304	,12308147	,12571588	,13077906	,
12620456	,14794444	,14974597	,14269880	,14772842	,11046311	,9731994	,8743818	,9208215	,11510447	,11578297	,11900073	,13527945	,14381184	,11762585	,11236239	,11433100	,12616854	,13529474	,15313578	,13589852	,13607072	,14128297	,10252683	,8220286	,12750242	,14983341	,10514556	,12815778	,12226215	,14462401	,13855595	,12627112	,13986154	,10980516	,8219000	,10255489	,8348518	,8605787	,8409169	,6971745	,13141405	,13469087	,8945554	,11708089	,13222090	,14844569	,15511469	,14467522	,15060175	,14650019	,7424598	,13082547	,13418699	,10393248	,10842250	,10912398	,15572397	,15508150	,10054795	,13996968	,16556727	,13541557	,16300229	,15515337	,11702180	,11438497	,14461114	,11573673	,14670297	,14080474	,12887987	,12023184	,8150645	,12103102	,13287883	,14713751	,14529198	,15890308	,12421791	,12554911	,11895711	,13669288	,13353934	,14589080	,14719899	,13726339	,13993368	,13406109	,13667487	,13864846	,15318447	,16171440	,16498093	,16497596	,16432056	,15708081	,14259370	,15041440	,7503500	,11638960	,6326155	,12357021	,13203862	,14848682	,11432329	,12432571	,13271420	,14071210	,14513277	,13203347	,12155793	,11569045	,10454673	,5922906	,6253681	,8685196	,10524578	,10663350	,12417654	,
12226215	,14462401	,13855595	,12627112	,13986154	,11111845	,9009042	,7170428	,8353676	,11047845	,11377325	,11052467	,15755653	,15835584	,12673923	,10975379	,11499668	,12617113	,13922441	,15243933	,14250365	,11445658	,10980232	,14061468	,10384528	,13531799	,14714015	,7954550	,8544891	,10976151	,13082805	,12014156	,10982546	,12085613	,9400971	,8413028	,11893377	,4534065	,7159623	,6965325	,10716814	,13405604	,14262965	,11562117	,12495800	,14139331	,12618129	,10781331	,10844303	,13345701	,14256030	,11104897	,13090248	,12370118	,10853286	,10514314	,9462396	,14850735	,14855104	,10650012	,13472681	,16562117	,14858953	,16236745	,14923461	,13015470	,11634593	,14066357	,11705514	,15455448	,14797778	,13741754	,12875666	,7491679	,12035510	,13947606	,13336956	,14071210	,14448513	,12091801	,11894678	,10972555	,12883886	,12562112	,14325914	,14849696	,12872321	,13793680	,12811408	,13402519	,14380928	,15515826	,16308670	,16505021	,16504000	,16505300	,16111316	,14198710	,13404065	,9606053	,10191518	,4946805	,10709635	,12151949	,12421020	,12552865	,14138309	,13406349	,14460832	,13857663	,13729688	,12354707	,11312286	,8877705	,4347483	,7167091	,9467537	,10524071	,10852264	,12216935	,
11633311	,13082805	,12014156	,10982546	,12085613	,10915750	,7436935	,6582394	,7892611	,9863575	,11773108	,12626873	,15297697	,15376571	,14840452	,11436957	,11631766	,12616084	,13927315	,15242912	,13275048	,11638438	,8353670	,13013412	,11568800	,14059168	,16162483	,11835044	,7695470	,8020595	,9726849	,9979204	,10257801	,10578806	,9201006	,12157055	,14513277	,2430746	,7290439	,6964301	,13275300	,12753325	,14857926	,14776469	,14072763	,14840692	,11176865	,9988745	,9986683	,9923711	,13072018	,13406370	,15062487	,11123646	,10854833	,10580881	,8938112	,13408940	,14591416	,10581651	,13399699	,14714013	,12225183	,14591420	,14194090	,13539758	,12552865	,14065843	,12164268	,15389656	,14733784	,14597569	,13994146	,6704474	,13015983	,14467788	,13406349	,14395552	,13730444	,11636125	,10971784	,9002357	,11703723	,11242914	,13271957	,12938373	,11822727	,12479626	,11954564	,12744593	,12805751	,15578024	,16442562	,16505023	,16509136	,16508128	,16440788	,15851996	,13415105	,10194851	,8809351	,5270380	,10387097	,12811930	,9200243	,13406117	,13353677	,14589080	,14719899	,13726339	,14059160	,12685462	,13081510	,9072009	,5004644	,6578034	,9662091	,10916262	,10329771	,14443360	,
10781085	,11301779	,10437697	,10520459	,11102837	,9999523	,8554386	,9204105	,8810891	,9930650	,11839929	,13287369	,14713751	,14529198	,15890308	,12288409	,12157592	,12812950	,13996958	,15309222	,14779295	,11166327	,5261913	,11174040	,11501725	,13274790	,15441839	,13344172	,9340032	,5276532	,5406834	,9268859	,9333370	,12154246	,13797771	,15838882	,13986425	,2692375	,7026756	,8147035	,13349312	,13474479	,13611711	,14581897	,14071732	,14577521	,11373475	,12351892	,10120842	,10449294	,14060452	,13408684	,14799828	,12701133	,11838129	,11168646	,8282238	,12162983	,13607090	,12747933	,13334415	,13400716	,15048102	,16102865	,12610943	,12554400	,13406885	,14921920	,13085628	,16371917	,15722470	,15258068	,14650019	,7096402	,13471911	,13353934	,14589080	,14524578	,13015456	,11377061	,10711436	,8872319	,11246769	,11834537	,13527945	,14381184	,11762585	,11236239	,11433100	,12616854	,13462655	,15443360	,16235698	,9072265	,16376789	,16378068	,16172244	,11835568	,15786215	,10910871	,10254477	,7635331	,11774908	,14387619	,8737375	,12097453	,13288656	,14917020	,15309216	,13134465	,14056594	,13143701	,14650272	,10063011	,5857902	,6969712	,9338007	,11836849	,12103612	,15298726	,
